sample	copynumber	more_than1	presence
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-207.fastq.sort.bam.Kuruka	0.25491652392371816	440	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-208.fastq.sort.bam.Kuruka	0.21225899280575541	244	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-209.fastq.sort.bam.Kuruka	0.32710654333675915	941	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-21.fastq.sort.bam.Kuruka	0.2638562293022725	437	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-211.fastq.sort.bam.Kuruka	0.46786605001712916	1814	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-212.fastq.sort.bam.Kuruka	0.40742697270754824	1834	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-213.fastq.sort.bam.Kuruka	0.21170583533173462	368	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-214.fastq.sort.bam.Kuruka	1.1891952723535457	4277	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-216.fastq.sort.bam.Kuruka	0.2505707434052758	634	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-217.fastq.sort.bam.Kuruka	0.16576384606600433	179	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-218.fastq.sort.bam.Kuruka	0.12155361425145599	93	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-219.fastq.sort.bam.Kuruka	0.2284290282060066	464	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-22.fastq.sort.bam.Kuruka	0.3650888432111454	871	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-220.fastq.sort.bam.Kuruka	0.2545769099006509	642	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-221.fastq.sort.bam.Kuruka	0.16998367020669178	301	absent
/Volumes/Storage/kuruka/deviaTE/raw-data//DrosEu-222.fastq.sort.bam.Kuruka	0.17604213771839672	254	absent
