name	genus	species	subspecies	species_group	species_subgroup	group	group2	realm1	realm2	region		notes
H.guttata	Hypselothyrea	guttata				other drosophilids	other drosophilids	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		
H.histrioides	Hirtodrosophila	histrioides				Hirtodrosophila	Hirtodrosophila	Indo-Malayan	Palearctic	EastAsia-Oceania		Japan
H.nokogiri	Hirtodrosophila	nokogiri				Hirtodrosophila	Hirtodrosophila	Indo-Malayan	Palearctic	EastAsia-Oceania		Japan
H.trivittata	Hirtodrosophila	trivittata				Hirtodrosophila	Hirtodrosophila	Palearctic	Palearctic	Palearctic		
L.aerea.MT83	Liodrosophila	aerea				other drosophilids	other drosophilids	Indo-Malayan	Palearctic	EastAsia-Oceania		Japan
L.aerea.TM23	Liodrosophila	aerea				other drosophilids	other drosophilids	Indo-Malayan	Palearctic	EastAsia-Oceania		Japan
L.andalusiaca	Lordiphosa	andalusiaca				Lordiphosa	Lordiphosa	Palearctic	Palearctic	Palearctic		
L.clarofinis	Lordiphosa	clarofinis				Lordiphosa	Lordiphosa	Indo-Malayan	Palearctic	EastAsia-Oceania		Korea
L.collinella	Lordiphosa	collinella				Lordiphosa	Lordiphosa	Indo-Malayan	Palearctic	EastAsia-Oceania		Japan
L.fenestrarum	Lordiphosa	fenestrarum				Lordiphosa	Lordiphosa	Palearctic	Palearctic	Palearctic		holarctic
L.maculata	Leucophenga	maculata				other drosophilids	other drosophilids	Palearctic	Indo-Malayan	Palearctic		
L.magnipectinata	Lordiphosa	magnipectinata				Lordiphosa	Lordiphosa	Indo-Malayan	Palearctic	EastAsia-Oceania		Japan
L.mommai	Lordiphosa	mommai				Lordiphosa	Lordiphosa	Indo-Malayan	Palearctic	EastAsia-Oceania		Japan
L.montana	Leucophenga	montana				other drosophilids	other drosophilids	Nearctic	Nearctic	Nearctic		
L.sabroskyi	Lissocephala	sabroskyi				other drosophilids	other drosophilids	Pacific Islands	Pacific Islands	EastAsia-Oceania		Micronesia
