assembly	name	genus	species	subspecies	species_group	species_subgroup	group	group2	realm1	realm2	region	notes	source
GCA_018150695.1	D.oshimai	Drosophila	oshimai		melanogaster	suzukii	suzukii	suzukii	Palearctic	Palearctic	EastAsia-Oceania	Japan	GBIF
GCA_020883565.1	D.pachea	Drosophila	pachea						Nearctic	Nearctic	Nearctic		GBIF
GCA_023558445.1	D.pallidifrons	Drosophila	pallidifrons						Indo-Malayan	Indo-Malayan	EastAsia-Oceania		GBIF
GCA_040805635.1	D.pallidosa	Drosophila	pallidosa						Indo-Malayan	Indo-Malayan	EastAsia-Oceania		GBIF
GCA_021223865.1	D.pandora	Drosophila	pandora						Australasian	Australasian	EastAsia-Oceania		GBIF
GCA_018153455.1	D.parabipectinata	Drosophila	parabipectinata		melanogaster	ananassae	melanogaster	melanogaster	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_035044025.1	D.paracracens	Drosophila	paracracens				hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii	hawaiian	https://doi.org/10.1101/2023.10.02.560517
GCA_035043915.1	D.paramelanica	Drosophila	paramelanica		melanica		virilis-repleta	virilis-repleta	Nearctic	Nearctic	Nearctic		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_035047545.1	D.paranaensis	Drosophila	paranaensis		repleta	mercatorum	virilis-repleta	virilis-repleta	Neotropic	Neotropic	Neotropic		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_035047505.1	D.parthenogenetica	Drosophila	parthenogenetica		cardini	cardini	immigrans-tripunctata	immigrans-tripunctata	Neotropic	Neotropic	Neotropic		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_035043875.1	D.paucipuncta	Drosophila	paucipuncta		grimshawi	punalua	hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii	hawaiian	https://doi.org/10.1101/2023.10.02.560517
GCA_018152135.1	D.paulistorum.06	Drosophila	paulistorum		willistoni	willistoni	willistoni	willistoni	Neotropic	Neotropic	Neotropic		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_018151315.1	D.paulistorum.12	Drosophila	paulistorum		willistoni	willistoni	willistoni	willistoni	Neotropic	Neotropic	Neotropic		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_008042775.1	D.pectinifera	Drosophila	pectinifera						Indo-Malayan	Indo-Malayan	EastAsia-Oceania		GBIF
GCA_035046225.1	D.pegasa	Drosophila	pegasa		repleta	mulleri	virilis-repleta	virilis-repleta	Neotropic	Neotropic	Neotropic		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_035047485.1	D.peninsularis	Drosophila	peninsularis		repleta	mercatorum	virilis-repleta	virilis-repleta	Neotropic	Neotropic	Neotropic		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_035043855.1	D.percnosoma	Drosophila	percnosoma				hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii	hawaiian	https://doi.org/10.1101/2023.10.02.560517
GCA_018904465.1	D.persimilis	Drosophila	persimilis		obscura	pseudoobscura	obscura	obscura	Nearctic	Nearctic	Nearctic		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_037043515.1	D.phalerata	Drosophila	phalerata		quinaria		immigrans-tripunctata	immigrans-tripunctata	Palearctic	Palearctic	Palearctic		GBIF
GCA_035043845.1	D.picticornis	Drosophila	picticornis		planitibia	picticornis	hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii	hawaiian	https://doi.org/10.1101/2023.10.02.560517
GCA_035043785.1	D.planitibia	Drosophila	planitibia		planitibia	picticornis	hawaiian	hawaiian	Pacific Islands	Pacific Islands	Hawaii	hawaiian	https://doi.org/10.1101/2023.10.02.560517
GCA_036346975.1	D.prolongata	Drosophila	prolongata						Indo-Malayan	Indo-Malayan	EastAsia-Oceania		GBIF
GCA_018151275.1	D.prosaltans	Drosophila	prosaltans		saltans	saltans	saltans	saltans	Neotropic	Neotropic	Neotropic		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_037075205.1	D.prostipennis	Drosophila	prostipennis		melanogaster	takahashii	melanogaster	melanogaster	Indo-Malayan	Indo-Malayan	EastAsia-Oceania		Therese A. Markow; Patrick M. O'Grady (2005). Drosophila: A guide to species identification and use
GCA_018150935.1	D.pruinosa	Drosophila	pruinosa		incertae sedis		immigrans-tripunctata	immigrans-tripunctata	Afrotropic	Afrotropic	Afrotropic		GBIF
